batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
WA Young,1620,1539.8050231669504,1912,1308.8342696919078,31.116573030809217
RR Rossouw,1239,1095.7536661594752,1341,931.3906162355539,30.760938376444606
RA Jadeja,2781,2911.920978638865,3350,2475.132831843035,30.58671681569649
HC Brook,856,647.7472231923635,857,550.585139713509,30.541486028649103
RR Pant,871,668.754701865602,846,568.4414965857617,30.25585034142383
CR Woakes,1514,1427.1872004198608,1714,1213.1091203568817,30.08908796431183
Ishan Kishan,886,688.6541525690809,890,585.3560296837187,30.06439703162813
MD Shanaka,1153,1003.6593817692757,1317,853.1104745038843,29.988952549611565
WIA Fernando,1405,1302.4147031464595,1657,1107.0524976744905,29.79475023255095
CS MacLeod,2015,2022.0140571196043,2570,1718.7119485516637,29.62880514483363
AC Jayangani,2924,3092.771725098409,3792,2628.8559663336478,29.514403366635225
H Kaur,2730,2865.0123813721325,3449,2435.2605241663127,29.473947583368727
Sabbir Rahman,1259,1137.5027236097862,1395,966.8773150683182,29.212268493168175
HM Nicholls,2180,2222.876728877285,2781,1889.4452195456922,29.055478045430778
MG Erasmus,2006,2018.8705631279443,2651,1716.0399786587525,28.99600213412475
SP Fleming,2133,2170.4055214539553,3036,1844.844693235862,28.8155306764138
PWH de Silva,866,681.5089241601655,850,579.2825855361407,28.67174144638593
KM Jadhav,1318,1213.8381633079675,1307,1031.7624388117724,28.623756118822758
Mashrafe Mortaza,1304,1204.0885367368635,1609,1023.475256226334,28.052474377366604
